title,title_id,imdb_id,content_rating,release_date,Action_Adventure,Animation,Comedy,SciFi_Fantasy,Drama,Family,Mystery_Crime,Bio_History,Horror_Thriller,Romance
Babygirl,1408,tt30057084,R,2024-12-25,0.0,0,0,0.0,1,0,0.0,0.0,1.0,1
The Fire Inside,1407,tt6133444,PG-13,2024-12-25,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
Better Man,1405,tt14260836,R,2024-12-25,0.0,0,0,1.0,0,0,0.0,1.0,0.0,0
A Complete Unknown,1404,tt11563598,R,2024-12-25,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
The Room Next Door,1403,tt29439114,PG-13,2024-12-20,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
The Brutalist,1402,tt8999762,R,2024-12-20,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Sonic The Hedgehog 3,1401,tt18259086,PG,2024-12-20,1.0,0,1,0.0,0,0,0.0,0.0,0.0,0
Mufasa: The Lion King,1400,tt13186482,PG,2024-12-20,1.0,1,0,0.0,1,0,0.0,0.0,0.0,0
September 5,1399,tt28082769,R,2024-12-13,0.0,0,0,0.0,1,0,0.0,1.0,1.0,0
Kraven the Hunter,1398,tt8790086,R,2024-12-13,1.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Lord of the Rings: The War of the Rohirrim,1397,tt14824600,PG-13,2024-12-13,1.0,1,0,0.0,0,0,0.0,0.0,0.0,0
The Man in the White Van,1396,tt13232552,PG-13,2024-12-13,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Nickel Boys,1395,tt23055660,PG-13,2024-12-13,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
The End,1394,tt15551346,R,2024-12-06,0.0,0,0,1.0,1,0,0.0,0.0,0.0,0
Unstoppable,1393,tt3864060,PG-13,2024-12-06,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Nightbitch,1392,tt12810074,R,2024-12-06,0.0,0,1,0.0,0,0,0.0,0.0,1.0,0
Y2K,1391,tt27218960,R,2024-12-06,0.0,0,1,1.0,0,0,0.0,0.0,1.0,0
The Return,1389,tt19861162,R,2024-12-06,1.0,0,0,0.0,1,0,0.0,1.0,0.0,0
Moana 2,1388,tt13622970,PG,2024-11-27,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0
Queer,1387,tt24176060,R,2024-11-27,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
The Seed of the Sacred Fig,1386,tt32178949,PG-13,2024-11-27,0.0,0,0,0.0,1,0,1.0,0.0,1.0,0
Gladiator II,1385,tt9218128,R,2024-11-22,1.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Wicked,1384,tt1262426,PG,2024-11-22,0.0,0,0,1.0,0,0,0.0,0.0,0.0,1
Red One,1383,tt14948432,PG-13,2024-11-15,1.0,0,1,0.0,0,0,0.0,0.0,0.0,0
The Best Christmas Pageant Ever,1381,tt2347285,PG,2024-11-08,1.0,0,1,0.0,1,0,0.0,0.0,0.0,0
Heretic,1380,tt28015403,R,2024-11-08,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Small Things Like These,1379,tt27196021,PG-13,2024-11-08,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
A Real Pain,1378,tt21823606,R,2024-11-01,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
Juror #2,1376,tt27403986,PG-13,2024-11-01,0.0,0,0,0.0,1,0,1.0,0.0,0.0,0
Conclave,1374,tt20215234,PG,2024-10-25,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
Venom: The Last Dance,1373,tt16366836,PG-13,2024-10-25,1.0,0,0,1.0,0,0,0.0,0.0,0.0,0
Smile 2,1372,tt29268110,R,2024-10-18,0.0,0,0,0.0,0,0,1.0,0.0,1.0,0
Goodrich,1371,tt10171472,R,2024-10-18,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
Exhibiting Forgiveness,1370,tt28523838,R,2024-10-18,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Rumours,1368,tt30841606,R,2024-10-18,0.0,0,1,0.0,1,0,0.0,0.0,1.0,0
Anora,1367,tt28607951,R,2024-10-18,0.0,0,1,0.0,1,0,0.0,0.0,0.0,1
We Live in Time,1366,tt27131358,R,2024-10-11,0.0,0,0,0.0,1,0,0.0,0.0,0.0,1
Woman of the Hour,1365,tt7737800,R,2024-10-11,0.0,0,0,0.0,1,0,1.0,0.0,0.0,0
Terrifier 3,1364,tt27911000,Not Rated,2024-10-11,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Piece by Piece,1362,tt31064841,PG,2024-10-11,0.0,1,1,0.0,0,0,0.0,1.0,0.0,0
Joker: Folie à Deux,1357,tt11315808,R,2024-10-04,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
White Bird,1356,tt11068094,PG-13,2024-10-04,0.0,0,0,0.0,1,1,0.0,1.0,0.0,0
Megalopolis,1355,tt10128846,R,2024-09-27,0.0,0,0,1.0,1,0,0.0,0.0,0.0,0
The Wild Robot,1354,tt29623480,PG,2024-09-27,0.0,1,0,1.0,0,0,0.0,0.0,0.0,0
Saturday Night,1352,tt27657135,R,2024-09-27,0.0,0,1,0.0,1,0,0.0,1.0,0.0,0
Lee,1351,tt5112584,R,2024-09-27,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
Sleep,1350,tt8209702,,2024-09-27,0.0,0,0,0.0,0,0,1.0,0.0,1.0,0
Wolfs,1349,tt14257582,R,2024-09-20,0.0,0,0,0.0,0,0,1.0,0.0,1.0,0
The Substance,1348,tt17526714,R,2024-09-20,0.0,0,0,1.0,1,0,0.0,0.0,1.0,0
Transformers One,1347,tt8864596,PG,2024-09-20,1.0,1,0,0.0,0,0,0.0,0.0,0.0,0
Never Let Go,1346,tt14415204,R,2024-09-20,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
A Different Man,1344,tt21097228,R,2024-09-20,0.0,0,1,0.0,1,0,0.0,0.0,1.0,0
Speak No Evil,1343,tt27534307,R,2024-09-13,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
My Old Ass,1342,tt18559464,R,2024-09-13,0.0,0,1,0.0,1,0,0.0,0.0,0.0,1
The Killers Game,1341,tt0187047,,2024-09-13,1.0,0,1,0.0,0,0,0.0,0.0,0.0,0
His Three Daughters,1339,tt28491891,R,2024-09-06,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0
The Front Room,1338,tt21905744,R,2024-09-06,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Beetlejuice Beetlejuice,1337,tt2049403,PG-13,2024-09-06,0.0,0,1,1.0,0,0,0.0,0.0,1.0,0
Reagan,1336,tt1723808,PG-13,2024-08-30,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
1992,1335,tt4959750,R,2024-08-30,1.0,0,0,0.0,1,0,0.0,0.0,1.0,0
City of Dreams,1334,tt6898324,R,2024-08-30,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
Afraid,1333,tt24577462,PG-13,2024-08-30,0.0,0,0,1.0,0,0,1.0,0.0,1.0,0
Slingshot,1332,tt12616480,R,2024-08-30,0.0,0,0,1.0,0,0,1.0,0.0,1.0,0
Greedy People,1331,tt20201748,R,2024-08-23,0.0,0,1,0.0,0,0,1.0,0.0,0.0,0
The Crow,1330,tt1340094,R,2024-08-23,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0
The Forge,1329,tt26731216,PG,2024-08-23,0.0,0,0,0.0,1,1,0.0,0.0,0.0,0
Blink Twice,1328,tt14858658,R,2024-08-23,0.0,0,0,0.0,0,0,1.0,0.0,1.0,0
Between the Temples,1327,tt27722375,R,2024-08-23,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0
My Penguin Friend,1326,tt8609660,PG,2024-08-16,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0
